Beer name,Beer style,Beer ABV,Brewery name,Island,Booth,Additional taprooms,Region,Actual location,Website
Shaft House Stout,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",4.2,Dostal Alley,11,16,"",Meet the Brewer,"Central City, Colorado, United States",Dostalalley.com
Cousin Jack Pub Ale,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.0,Dostal Alley,11,16,"",Meet the Brewer,"Central City, Colorado, United States",Dostalalley.com
The Sauer House Project: Ellie’s Version,"Sour Ales, Brett Beers & Lambics",6.0,Dostal Alley,11,16,"",Meet the Brewer,"Central City, Colorado, United States",Dostalalley.com
J.B. Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.4,Dostal Alley,11,16,"",Meet the Brewer,"Central City, Colorado, United States",Dostalalley.com
Apricot Gold IPA,American and English India Pale Ales,6.2,Dostal Alley,11,16,"",Meet the Brewer,"Central City, Colorado, United States",Dostalalley.com
Tropicalia,American and English India Pale Ales,6.6,Creature Comforts,9,22,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Athens, Georgia, United States",Creaturecomfortsbeer.com
Classic City Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.2,Creature Comforts,9,22,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Athens, Georgia, United States",Creaturecomfortsbeer.com
Bibo,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.9,Creature Comforts,9,22,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Athens, Georgia, United States",Creaturecomfortsbeer.com
Neon Cylinders: Rowdy Red,"Sour Ales, Brett Beers & Lambics",8.0,Creature Comforts,9,22,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Athens, Georgia, United States",Creaturecomfortsbeer.com
Bigger Dreams,American and English India Pale Ales,6.8,Creature Comforts,9,22,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Athens, Georgia, United States",Creaturecomfortsbeer.com
Boo Boo Blonde,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.25,Ranch Hand Brewing,16,17,"","Southwest (AZ, NM,TX)","Eloy, Arizona, United States",ranchhandbrewing.com
Dad Beer Cream Ale,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Ranch Hand Brewing,16,17,"","Southwest (AZ, NM,TX)","Eloy, Arizona, United States",ranchhandbrewing.com
Ranch Hand Amber,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.4,Ranch Hand Brewing,16,17,"","Southwest (AZ, NM,TX)","Eloy, Arizona, United States",ranchhandbrewing.com
Microburst Hazy IPA,"Fresh Hop, Imperial India Pale and Imperial Red Ales",6.4,Ranch Hand Brewing,16,17,"","Southwest (AZ, NM,TX)","Eloy, Arizona, United States",ranchhandbrewing.com
Drover Scottish Ale,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",6.5,Ranch Hand Brewing,16,17,"","Southwest (AZ, NM,TX)","Eloy, Arizona, United States",ranchhandbrewing.com
Breakfast Grapefruit IPA,American and English India Pale Ales,6.5,Strange Craft Beer Company,12,5,Heavy Medal Taproom,Meet the Brewer,"Denver, Colorado, United States",www.strangecraft.com
Can I Get A Lime?,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.7,Strange Craft Beer Company,12,5,Heavy Medal Taproom,Meet the Brewer,"Denver, Colorado, United States",www.strangecraft.com
Strange Fest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.6,Strange Craft Beer Company,12,5,Heavy Medal Taproom,Meet the Brewer,"Denver, Colorado, United States",www.strangecraft.com
Strange Pale,Pales Ales and Strong Pale Ales,4.6,Strange Craft Beer Company,12,5,Heavy Medal Taproom,Meet the Brewer,"Denver, Colorado, United States",www.strangecraft.com
Cherry Kriek,Fruit & Fruit Wheat Beers,5.0,Strange Craft Beer Company,12,5,Heavy Medal Taproom,Meet the Brewer,"Denver, Colorado, United States",www.strangecraft.com
Strange Fest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.6,Strange Craft Beer Company,12,5,Heavy Medal Taproom,Meet the Brewer,"Denver, Colorado, United States",www.strangecraft.com
Black Plague Ale,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",10.47,Brigadoon Brewery & Brew School,16,11,"","Southwest (AZ, NM,TX)","La Porte, Texas, United States",www.brigadoonbrewery.com
Green Ogre IPA,"Fresh Hop, Imperial India Pale and Imperial Red Ales",8.95,Brigadoon Brewery & Brew School,16,11,"","Southwest (AZ, NM,TX)","La Porte, Texas, United States",www.brigadoonbrewery.com
PB&J Sour Ale,"Sour Ales, Brett Beers & Lambics",6.5,Loveland Aleworks,8,15,"",Meet the Brewer,"Loveland, Colorado, United States",www.lovelandaleworks.com
Apple Pie American Sour Ale,"Sour Ales, Brett Beers & Lambics",5.8,Loveland Aleworks,8,15,"",Meet the Brewer,"Loveland, Colorado, United States",www.lovelandaleworks.com
Pickle Sour,"Sour Ales, Brett Beers & Lambics",5.8,Loveland Aleworks,8,15,"",Meet the Brewer,"Loveland, Colorado, United States",www.lovelandaleworks.com
Czech Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.5,Loveland Aleworks,8,15,"",Meet the Brewer,"Loveland, Colorado, United States",www.lovelandaleworks.com
Horchata Milkshake IPA,Experimental Beers,6.3,Loveland Aleworks,8,15,"",Meet the Brewer,"Loveland, Colorado, United States",www.lovelandaleworks.com
Bohemian Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.2,Narragansett Beer,7,27,"","New England (ME, NH, VT, MA, CT, RI)","Providence, Rhode Island, United States",www.narragansettbeer.com
Narragansett Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Narragansett Beer,7,27,"","New England (ME, NH, VT, MA, CT, RI)","Providence, Rhode Island, United States",www.narragansettbeer.com
Narragansett Porter,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",5.0,Narragansett Beer,7,27,"","New England (ME, NH, VT, MA, CT, RI)","Providence, Rhode Island, United States",www.narragansettbeer.com
TexMex Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.5,Big Country Organic Brewing Company,13,23,"","Southwest (AZ, NM,TX)","Pflugerville, Texas, United States",www.enjoybigcountry.com
West Coast IPA,American and English India Pale Ales,7.7,Big Country Organic Brewing Company,13,23,"","Southwest (AZ, NM,TX)","Pflugerville, Texas, United States",www.enjoybigcountry.com
Hazy IPA,American and English India Pale Ales,7.1,Big Country Organic Brewing Company,13,23,"","Southwest (AZ, NM,TX)","Pflugerville, Texas, United States",www.enjoybigcountry.com
Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Big Country Organic Brewing Company,13,23,"","Southwest (AZ, NM,TX)","Pflugerville, Texas, United States",www.enjoybigcountry.com
El Hefe,Wheat Beers: American & German-Style,5.0,No Label Brewing Co.,16,15,"","Southwest (AZ, NM,TX)","Katy, Texas, United States",
Cali Boy,American and English India Pale Ales,7.5,No Label Brewing Co.,16,15,"","Southwest (AZ, NM,TX)","Katy, Texas, United States",
1980,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.2,No Label Brewing Co.,16,15,"","Southwest (AZ, NM,TX)","Katy, Texas, United States",
Octoberfest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",6.0,No Label Brewing Co.,16,15,"","Southwest (AZ, NM,TX)","Katy, Texas, United States",
Volcano Mudslide,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.0,Feather Falls Brewing Co.,14,22,"","Pacific (CA, HI)","Oroville, California, United States",
Soaring Eagle,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.25,Feather Falls Brewing Co.,14,22,"","Pacific (CA, HI)","Oroville, California, United States",
Oktoberfest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Feather Falls Brewing Co.,14,22,"","Pacific (CA, HI)","Oroville, California, United States",
Dancing Trees,Wheat Beers: American & German-Style,4.5,Feather Falls Brewing Co.,14,22,"","Pacific (CA, HI)","Oroville, California, United States",
Crouching Cougar,"Scotch Ales, Old Ales, Strong Ales and Barley wine ales",11.5,Feather Falls Brewing Co.,14,22,"","Pacific (CA, HI)","Oroville, California, United States",
Modern Love,American and English India Pale Ales,7.0,TapRoom Beer Co,17,15,"","Pacific (CA, HI)","San Diego, California, United States",
Bee The Buzz,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.7,TapRoom Beer Co,17,15,"","Pacific (CA, HI)","San Diego, California, United States",
